,date,all,16-24,25-54,55-64,65+,less_than_hs,high_school,some_college,bachelor's_degree,advanced_degree,women,women_16-24,women_25-54,women_55-64,women_65+,women_less_than_hs,women_high_school,women_some_college,women_bachelor's_degree,women_advanced_degree,men,men_16-24,men_25-54,men_55-64,men_65+,men_less_than_hs,men_high_school,men_some_college,men_bachelor's_degree,men_advanced_degree,black,black_16-24,black_25-54,black_55-64,black_65+,black_less_than_hs,black_high_school,black_some_college,black_bachelor's_degree,black_advanced_degree,black_women,black_women_16-24,black_women_25-54,black_women_55-64,black_women_65+,black_women_less_than_hs,black_women_high_school,black_women_some_college,black_women_bachelor's_degree,black_women_advanced_degree,black_men,black_men_16-24,black_men_25-54,black_men_55-64,black_men_65+,black_men_less_than_hs,black_men_high_school,black_men_some_college,black_men_bachelor's_degree,black_men_advanced_degree,hispanic,hispanic_16-24,hispanic_25-54,hispanic_55-64,hispanic_65+,hispanic_less_than_hs,hispanic_high_school,hispanic_some_college,hispanic_bachelor's_degree,hispanic_advanced_degree,hispanic_women,hispanic_women_16-24,hispanic_women_25-54,hispanic_women_55-64,hispanic_women_65+,hispanic_women_less_than_hs,hispanic_women_high_school,hispanic_women_some_college,hispanic_women_bachelor's_degree,hispanic_women_advanced_degree,hispanic_men,hispanic_men_16-24,hispanic_men_25-54,hispanic_men_55-64,hispanic_men_65+,hispanic_men_less_than_hs,hispanic_men_high_school,hispanic_men_some_college,hispanic_men_bachelor's_degree,hispanic_men_advanced_degree,white,white_16-24,white_25-54,white_55-64,white_65+,white_less_than_hs,white_high_school,white_some_college,white_bachelor's_degree,white_advanced_degree,white_women,white_women_16-24,white_women_25-54,white_women_55-64,white_women_65+,white_women_less_than_hs,white_women_high_school,white_women_some_college,white_women_bachelor's_degree,white_women_advanced_degree,white_men,white_men_16-24,white_men_25-54,white_men_55-64,white_men_65+,white_men_less_than_hs,white_men_high_school,white_men_some_college,white_men_bachelor's_degree,white_men_advanced_degree,population_over_16
0,2023-07-01,3.6,7.8,3.1,2.4,2.7,7.0,4.8,3.4,2.4,1.7,3.5,7.1,3.1,2.3,2.7,7.5,4.9,3.5,2.4,1.7,3.6,8.5,3.1,2.5,2.7,6.7,4.7,3.4,2.4,1.7,5.8,12.5,5.0,3.3,3.9,12.6,7.9,5.2,3.4,2.1,5.8,12.4,5.1,3.1,3.9,13.9,8.3,5.1,3.8,2.0,5.8,12.6,5.0,3.5,3.9,11.5,7.5,5.4,2.9,2.3,4.4,8.5,3.6,3.4,3.9,5.9,5.2,3.8,2.9,1.7,4.3,7.6,3.6,3.6,3.3,6.4,5.1,4.0,2.9,1.9,4.4,9.3,3.6,3.2,4.2,5.6,5.2,3.6,2.9,1.5,2.8,6.3,2.5,2.0,2.5,6.9,3.8,2.9,2.1,1.6,2.7,5.6,2.4,2.0,2.5,6.8,3.7,2.9,2.1,1.5,2.9,7.0,2.5,2.1,2.4,7.0,3.8,2.8,2.1,1.6,267002000
1,2023-06-01,3.6,7.8,3.1,2.4,2.8,7.1,4.8,3.4,2.4,1.7,3.5,7.1,3.1,2.3,2.8,7.5,4.9,3.4,2.4,1.7,3.6,8.5,3.0,2.5,2.8,6.8,4.7,3.4,2.4,1.7,5.8,12.3,5.1,3.2,3.9,12.8,7.9,5.2,3.4,2.1,5.8,12.1,5.2,2.9,4.1,14.4,8.3,5.1,3.7,2.0,5.8,12.4,5.0,3.4,3.7,11.4,7.5,5.3,3.0,2.2,4.4,8.5,3.6,3.4,4.0,6.0,5.1,3.8,2.7,1.8,4.3,7.7,3.6,3.5,3.3,6.3,5.1,4.0,2.8,2.2,4.4,9.2,3.5,3.3,4.4,5.8,5.1,3.6,2.7,1.5,2.8,6.3,2.4,2.1,2.5,6.9,3.8,2.8,2.1,1.6,2.7,5.6,2.4,2.0,2.6,6.7,3.7,2.8,2.2,1.6,2.9,7.0,2.5,2.1,2.5,7.0,3.8,2.9,2.1,1.6,266801000
2,2023-05-01,3.6,7.9,3.0,2.4,2.8,7.1,4.8,3.4,2.4,1.7,3.5,7.2,3.1,2.4,2.8,7.6,4.9,3.4,2.5,1.7,3.6,8.5,3.0,2.5,2.8,6.7,4.7,3.4,2.4,1.7,5.8,12.2,5.1,3.1,3.9,12.3,7.7,5.3,3.4,2.0,5.8,11.7,5.2,2.9,4.1,13.6,8.0,5.3,3.8,2.0,5.8,12.8,4.9,3.2,3.7,11.2,7.5,5.4,3.0,2.1,4.4,8.5,3.6,3.4,3.8,6.0,5.1,3.7,2.8,1.9,4.4,7.9,3.6,3.7,3.1,6.4,5.1,3.9,2.9,2.2,4.4,9.1,3.5,3.3,4.4,5.8,5.1,3.5,2.7,1.4,2.9,6.4,2.4,2.1,2.5,7.0,3.8,2.8,2.1,1.6,2.8,5.8,2.4,2.1,2.6,7.1,3.8,2.8,2.2,1.6,2.9,7.0,2.5,2.1,2.5,6.9,3.8,2.9,2.1,1.6,266618000
3,2023-04-01,3.6,7.9,3.0,2.4,2.8,7.1,4.8,3.4,2.4,1.7,3.5,7.2,3.1,2.4,2.8,7.6,4.9,3.4,2.5,1.7,3.6,8.5,3.0,2.5,2.8,6.8,4.7,3.4,2.3,1.7,5.8,12.3,5.1,3.1,3.8,12.1,7.6,5.4,3.5,1.9,5.8,11.9,5.2,2.9,4.1,13.3,8.0,5.4,3.9,1.9,5.8,12.7,4.9,3.2,3.6,11.2,7.3,5.5,3.1,2.0,4.4,8.7,3.6,3.4,4.0,6.1,5.0,3.8,2.9,1.9,4.5,8.1,3.7,3.7,3.3,6.6,5.2,4.1,3.0,2.3,4.4,9.2,3.5,3.1,4.6,5.8,4.9,3.4,2.7,1.5,2.9,6.4,2.4,2.1,2.5,7.0,3.8,2.8,2.1,1.6,2.7,5.8,2.4,2.1,2.6,7.0,3.8,2.8,2.2,1.5,2.9,7.0,2.5,2.2,2.5,6.9,3.8,2.9,2.1,1.6,266443000
4,2023-03-01,3.6,8.0,3.0,2.5,2.8,7.1,4.8,3.5,2.4,1.7,3.5,7.3,3.1,2.4,2.8,7.5,5.0,3.5,2.5,1.7,3.6,8.7,3.0,2.5,2.8,6.8,4.7,3.5,2.4,1.7,5.9,12.7,5.1,3.2,4.0,12.0,7.7,5.6,3.6,1.9,5.8,12.2,5.2,3.2,4.3,13.0,8.0,5.5,4.0,1.9,5.9,13.1,5.0,3.3,3.6,11.1,7.4,5.7,3.3,2.0,4.4,8.7,3.5,3.4,4.1,6.1,5.0,3.8,2.8,1.9,4.4,8.0,3.7,3.6,3.4,6.5,5.2,4.1,2.9,2.5,4.3,9.3,3.4,3.2,4.7,6.0,4.8,3.4,2.7,1.3,2.9,6.5,2.4,2.2,2.5,6.9,3.9,2.9,2.1,1.6,2.8,5.9,2.4,2.1,2.6,7.1,3.9,2.8,2.2,1.5,3.0,7.1,2.5,2.2,2.5,6.8,3.9,2.9,2.1,1.7,266272000
5,2023-02-01,3.6,8.1,3.0,2.4,2.9,7.2,4.8,3.5,2.4,1.7,3.5,7.4,3.1,2.4,2.9,7.7,5.0,3.5,2.4,1.7,3.6,8.8,3.0,2.5,2.9,6.8,4.7,3.4,2.4,1.7,5.9,13.0,5.1,3.3,4.1,12.4,7.7,5.7,3.6,2.0,6.0,12.8,5.2,3.3,4.4,13.7,8.1,5.8,3.9,1.9,5.9,13.2,5.0,3.3,3.8,11.3,7.5,5.6,3.2,2.1,4.3,8.6,3.5,3.2,4.0,6.2,4.9,3.8,2.7,1.9,4.4,7.8,3.7,3.4,3.5,6.5,5.1,4.1,2.7,2.4,4.3,9.4,3.4,3.1,4.3,6.0,4.7,3.5,2.6,1.3,2.9,6.6,2.4,2.2,2.6,7.0,3.9,2.8,2.1,1.6,2.8,5.9,2.4,2.1,2.6,7.4,4.0,2.8,2.1,1.5,3.0,7.2,2.5,2.2,2.6,6.8,3.9,2.9,2.1,1.7,266112000
6,2023-01-01,3.6,8.1,3.1,2.5,2.9,7.1,4.9,3.5,2.4,1.7,3.6,7.4,3.1,2.4,2.8,7.7,5.1,3.6,2.4,1.7,3.6,8.7,3.0,2.5,3.0,6.7,4.7,3.4,2.4,1.7,6.0,12.9,5.3,3.4,4.2,12.3,8.1,5.6,3.6,2.1,6.1,12.9,5.3,3.4,4.6,13.0,8.4,5.8,4.0,2.0,6.0,12.9,5.2,3.4,3.9,11.8,7.7,5.5,3.1,2.2,4.3,8.4,3.4,3.3,4.0,6.1,4.7,3.8,2.6,1.8,4.4,7.8,3.7,3.2,3.3,6.7,5.1,4.1,2.6,2.3,4.2,9.0,3.2,3.4,4.5,5.8,4.5,3.4,2.7,1.3,2.9,6.7,2.5,2.2,2.6,7.0,4.0,2.9,2.1,1.6,2.8,6.0,2.4,2.1,2.5,7.5,4.0,2.9,2.1,1.5,3.0,7.4,2.5,2.2,2.7,6.7,4.0,3.0,2.1,1.7,265962000
7,2022-12-01,3.6,8.1,3.1,2.5,3.0,7.2,4.9,3.6,2.4,1.7,3.6,7.5,3.2,2.5,2.8,7.9,5.1,3.6,2.5,1.7,3.7,8.8,3.1,2.6,3.1,6.8,4.8,3.5,2.4,1.7,6.2,13.2,5.4,3.5,4.4,13.1,8.3,5.6,3.7,2.0,6.2,13.3,5.4,3.5,4.6,13.2,8.6,5.9,4.2,1.9,6.1,13.0,5.3,3.5,4.1,12.9,8.0,5.3,3.1,2.3,4.3,8.3,3.4,3.4,3.8,6.1,4.6,3.8,2.6,1.8,4.4,7.7,3.8,3.3,3.2,7.0,5.2,4.1,2.6,2.2,4.1,8.8,3.2,3.5,4.2,5.7,4.3,3.6,2.7,1.5,3.0,6.6,2.5,2.2,2.7,7.1,4.0,3.0,2.1,1.6,2.8,5.9,2.4,2.2,2.5,7.4,4.0,2.9,2.1,1.5,3.1,7.4,2.6,2.2,2.8,6.8,4.1,3.0,2.2,1.7,264844000
8,2022-11-01,3.7,8.1,3.2,2.6,2.9,7.3,5.0,3.6,2.5,1.7,3.6,7.4,3.2,2.6,2.8,8.0,5.1,3.7,2.5,1.6,3.7,8.8,3.1,2.6,3.0,6.9,4.9,3.5,2.4,1.7,6.3,13.3,5.5,3.5,4.5,13.1,8.5,5.7,3.6,2.1,6.2,13.6,5.4,3.6,4.5,13.1,8.7,6.1,4.1,2.0,6.3,12.9,5.5,3.5,4.6,13.0,8.3,5.3,3.1,2.3,4.3,8.3,3.5,3.5,3.8,6.2,4.7,3.9,2.6,1.8,4.5,7.7,4.0,3.5,3.2,7.5,5.2,4.1,2.7,2.2,4.1,8.8,3.1,3.5,4.1,5.6,4.3,3.6,2.6,1.4,3.0,6.6,2.6,2.3,2.7,7.1,4.1,3.0,2.2,1.6,2.8,5.7,2.5,2.3,2.5,7.4,4.0,3.0,2.1,1.5,3.1,7.5,2.6,2.2,2.8,6.9,4.1,3.0,2.2,1.7,264708000
9,2022-10-01,3.7,8.1,3.2,2.7,3.0,7.4,5.1,3.6,2.5,1.7,3.7,7.5,3.2,2.7,2.8,8.1,5.2,3.7,2.5,1.6,3.8,8.8,3.2,2.6,3.0,6.9,4.9,3.5,2.5,1.7,6.3,13.5,5.5,3.6,4.5,13.4,8.7,5.7,3.6,2.0,6.3,13.9,5.4,3.8,4.4,13.1,8.9,6.1,4.1,1.9,6.4,13.2,5.7,3.4,4.6,13.5,8.5,5.4,3.0,2.1,4.4,8.3,3.6,3.6,4.0,6.3,4.8,3.9,2.8,1.8,4.7,7.9,4.1,3.8,3.4,7.7,5.5,4.1,2.8,2.2,4.1,8.6,3.2,3.4,4.4,5.6,4.3,3.6,2.8,1.4,3.0,6.6,2.6,2.3,2.6,7.1,4.1,3.0,2.2,1.5,2.9,5.7,2.5,2.4,2.5,7.3,4.0,3.0,2.2,1.5,3.1,7.4,2.7,2.3,2.7,7.0,4.2,3.0,2.2,1.7,264535000
10,2022-09-01,3.8,8.2,3.3,2.7,3.1,7.5,5.1,3.7,2.6,1.7,3.8,7.5,3.3,2.8,3.0,8.3,5.4,3.8,2.6,1.6,3.8,8.8,3.2,2.7,3.1,7.0,5.0,3.7,2.5,1.7,6.5,13.4,5.7,3.6,4.6,13.7,8.8,5.9,3.7,2.0,6.3,13.6,5.5,3.7,4.6,12.9,8.9,6.2,4.1,2.0,6.6,13.2,6.0,3.6,4.7,14.3,8.8,5.5,3.3,2.1,4.5,8.5,3.7,3.6,4.1,6.4,4.9,4.0,2.9,1.9,4.9,8.2,4.3,3.9,3.5,8.0,5.8,4.2,2.9,2.2,4.2,8.7,3.3,3.4,4.5,5.6,4.3,3.9,3.0,1.5,3.0,6.6,2.6,2.4,2.7,7.3,4.2,3.1,2.2,1.5,2.9,5.6,2.5,2.4,2.6,7.5,4.1,3.1,2.2,1.5,3.2,7.5,2.7,2.4,2.8,7.0,4.2,3.1,2.2,1.6,264356000
11,2022-08-01,3.9,8.2,3.4,2.8,3.2,7.5,5.3,3.9,2.6,1.7,3.9,7.5,3.4,2.9,3.1,8.4,5.5,3.9,2.6,1.7,3.9,8.9,3.4,2.8,3.2,7.0,5.1,3.8,2.6,1.7,6.6,13.4,5.9,3.8,4.6,14.0,9.0,6.0,3.7,2.1,6.4,13.4,5.7,3.9,4.5,12.9,9.1,6.3,4.0,2.1,6.8,13.5,6.1,3.6,4.7,15.0,9.0,5.6,3.4,2.0,4.7,8.7,3.9,3.7,4.3,6.5,5.2,4.2,3.1,2.0,5.1,8.4,4.4,4.0,3.8,8.2,6.1,4.3,3.0,2.3,4.4,8.9,3.5,3.4,4.7,5.6,4.6,4.2,3.2,1.6,3.1,6.5,2.7,2.5,2.8,7.3,4.2,3.2,2.3,1.6,3.0,5.6,2.6,2.5,2.7,7.6,4.2,3.2,2.2,1.5,3.2,7.5,2.8,2.5,2.8,7.0,4.3,3.2,2.3,1.6,264184000
12,2022-07-01,4.0,8.4,3.5,2.9,3.3,7.7,5.4,4.0,2.7,1.7,4.0,7.7,3.5,2.9,3.2,8.6,5.6,4.1,2.7,1.7,4.1,9.0,3.5,2.9,3.3,7.1,5.3,4.0,2.8,1.8,6.8,13.8,6.1,4.0,4.6,14.4,9.3,6.3,3.9,2.1,6.6,13.8,5.8,4.1,4.2,13.1,9.3,6.5,4.2,2.1,7.1,13.8,6.4,4.0,4.9,15.5,9.3,6.1,3.5,2.0,4.8,8.7,4.1,3.7,4.7,6.4,5.3,4.4,3.3,2.0,5.2,8.6,4.6,4.0,4.3,8.4,6.2,4.5,3.2,2.2,4.5,8.9,3.7,3.4,4.9,5.4,4.8,4.4,3.3,1.7,3.2,6.7,2.8,2.6,2.9,7.4,4.3,3.3,2.3,1.6,3.1,5.8,2.7,2.5,2.9,7.8,4.3,3.3,2.3,1.5,3.3,7.5,2.9,2.6,2.9,7.1,4.3,3.3,2.4,1.7,264012000
13,2022-06-01,4.2,8.5,3.7,3.1,3.4,7.9,5.6,4.2,2.9,1.8,4.1,7.8,3.7,3.1,3.4,8.9,5.8,4.2,2.8,1.7,4.2,9.2,3.7,3.1,3.4,7.2,5.5,4.2,2.9,1.8,7.1,13.9,6.3,4.4,4.8,14.6,9.5,6.6,3.9,2.2,6.8,13.8,6.0,4.5,4.5,13.1,9.6,6.8,4.2,2.2,7.4,13.9,6.7,4.4,5.1,15.9,9.5,6.5,3.5,2.2,5.0,8.9,4.3,3.8,4.9,6.6,5.6,4.6,3.5,1.9,5.4,8.7,4.8,4.3,4.5,8.9,6.4,4.6,3.6,2.0,4.7,9.0,3.9,3.4,5.1,5.5,5.1,4.5,3.5,1.8,3.3,6.8,2.9,2.7,3.0,7.6,4.5,3.5,2.4,1.7,3.2,5.8,2.8,2.6,3.0,7.9,4.5,3.5,2.4,1.6,3.5,7.8,3.0,2.7,3.0,7.4,4.5,3.5,2.5,1.8,263835000
14,2022-05-01,4.4,8.6,3.9,3.3,3.6,8.1,5.9,4.4,3.0,1.9,4.3,7.9,3.9,3.3,3.6,9.0,6.1,4.5,3.0,1.8,4.4,9.4,3.9,3.3,3.6,7.5,5.8,4.4,3.0,1.9,7.4,14.1,6.6,4.7,5.0,15.3,9.9,7.0,4.1,2.4,7.0,14.2,6.1,4.9,4.5,13.6,9.9,7.0,4.3,2.4,7.8,13.9,7.2,4.6,5.6,16.8,9.8,6.9,3.8,2.6,5.3,9.0,4.6,3.9,5.3,6.9,5.9,4.8,3.8,2.0,5.7,8.8,5.2,4.4,5.0,9.1,6.7,5.0,3.9,2.1,4.9,9.2,4.1,3.6,5.5,5.7,5.4,4.7,3.7,1.9,3.5,6.9,3.1,2.8,3.2,7.7,4.7,3.7,2.5,1.7,3.3,5.9,3.0,2.8,3.2,7.9,4.7,3.6,2.5,1.6,3.6,7.9,3.1,2.9,3.1,7.5,4.7,3.7,2.6,1.8,263679000
